song_id,title,artist,genre,mood,energy,danceability,tempo
S_0001,Rock Track 1,Artist 95,Rock,Happy,0.75,0.98,137.0
S_0002,Classical Track 2,Artist 29,Classical,Sad,0.34,0.18,66.0
S_0003,Hip-Hop Track 3,Artist 14,Hip-Hop,Angry,0.62,0.93,130.0
S_0004,Rock Track 4,Artist 55,Rock,Romantic,0.65,0.31,119.0
S_0005,Pop Track 5,Artist 12,Pop,Happy,0.93,0.61,109.0
S_0006,Electronic Track 6,Artist 65,Electronic,Sad,0.67,0.65,126.0
S_0007,Pop Track 7,Artist 26,Pop,Romantic,0.77,0.65,131.0
S_0008,R&B Track 8,Artist 58,R&B,Sad,0.16,0.25,75.0
S_0009,Classical Track 9,Artist 98,Classical,Happy,0.78,0.89,110.0
S_0010,Hip-Hop Track 10,Artist 55,Hip-Hop,Angry,0.81,0.8,102.0
S_0011,Jazz Track 11,Artist 20,Jazz,Energetic,0.84,0.59,103.0
S_0012,Electronic Track 12,Artist 14,Electronic,Energetic,0.98,0.98,140.0
S_0013,Rock Track 13,Artist 13,Rock,Chill,0.22,0.15,87.0
S_0014,Jazz Track 14,Artist 78,Jazz,Energetic,0.78,0.56,125.0
S_0015,Classical Track 15,Artist 94,Classical,Happy,0.61,0.95,113.0
S_0016,Country Track 16,Artist 16,Country,Romantic,0.63,0.46,101.0
S_0017,R&B Track 17,Artist 71,R&B,Happy,0.82,0.59,148.0
S_0018,Classical Track 18,Artist 80,Classical,Angry,0.41,0.57,96.0
S_0019,Jazz Track 19,Artist 25,Jazz,Romantic,0.34,0.56,64.0
S_0020,Rock Track 20,Artist 85,Rock,Happy,0.68,0.52,116.0
S_0021,Electronic Track 21,Artist 11,Electronic,Energetic,0.76,0.64,141.0
S_0022,Electronic Track 22,Artist 49,Electronic,Happy,0.74,0.64,127.0
S_0023,Classical Track 23,Artist 82,Classical,Chill,0.16,0.5,63.0
S_0024,Jazz Track 24,Artist 48,Jazz,Sad,0.49,0.49,68.0
S_0025,Jazz Track 25,Artist 86,Jazz,Sad,0.1,0.51,88.0
S_0026,Classical Track 26,Artist 88,Classical,Angry,0.39,0.49,63.0
S_0027,Rock Track 27,Artist 82,Rock,Romantic,0.48,0.36,115.0
S_0028,Hip-Hop Track 28,Artist 94,Hip-Hop,Romantic,0.85,0.67,103.0
S_0029,Electronic Track 29,Artist 60,Electronic,Sad,0.72,0.66,136.0
S_0030,R&B Track 30,Artist 82,R&B,Energetic,0.86,0.94,124.0
S_0031,Electronic Track 31,Artist 42,Electronic,Angry,0.65,0.86,138.0
S_0032,Pop Track 32,Artist 5,Pop,Sad,0.82,0.89,125.0
S_0033,Jazz Track 33,Artist 35,Jazz,Chill,0.31,0.31,61.0
S_0034,Rock Track 34,Artist 73,Rock,Sad,0.14,0.12,85.0
S_0035,Jazz Track 35,Artist 84,Jazz,Sad,0.23,0.35,96.0
S_0036,Country Track 36,Artist 83,Country,Chill,0.2,0.31,90.0
S_0037,Country Track 37,Artist 34,Country,Sad,0.19,0.14,72.0
S_0038,Hip-Hop Track 38,Artist 96,Hip-Hop,Sad,0.66,0.96,140.0
S_0039,Classical Track 39,Artist 75,Classical,Angry,0.35,0.54,92.0
S_0040,R&B Track 40,Artist 52,R&B,Romantic,0.39,0.75,102.0
S_0041,Jazz Track 41,Artist 18,Jazz,Sad,0.42,0.55,73.0
S_0042,Country Track 42,Artist 97,Country,Happy,0.64,0.61,121.0
S_0043,Pop Track 43,Artist 20,Pop,Happy,0.93,0.93,100.0
S_0044,Hip-Hop Track 44,Artist 55,Hip-Hop,Angry,0.8,0.71,111.0
S_0045,Rock Track 45,Artist 49,Rock,Chill,0.15,0.27,98.0
S_0046,Country Track 46,Artist 33,Country,Romantic,0.46,0.56,108.0
S_0047,Pop Track 47,Artist 93,Pop,Angry,0.75,0.99,148.0
S_0048,Rock Track 48,Artist 69,Rock,Angry,0.43,0.55,92.0
S_0049,Classical Track 49,Artist 44,Classical,Angry,0.21,0.12,84.0
S_0050,Rock Track 50,Artist 56,Rock,Energetic,0.8,0.53,114.0
S_0051,Hip-Hop Track 51,Artist 1,Hip-Hop,Chill,0.96,0.62,107.0
S_0052,Classical Track 52,Artist 98,Classical,Romantic,0.3,0.59,70.0
S_0053,Hip-Hop Track 53,Artist 14,Hip-Hop,Romantic,0.87,0.88,112.0
S_0054,Classical Track 54,Artist 65,Classical,Angry,0.39,0.28,85.0
S_0055,Electronic Track 55,Artist 48,Electronic,Sad,0.85,0.77,105.0
S_0056,Hip-Hop Track 56,Artist 100,Hip-Hop,Romantic,0.93,0.66,109.0
S_0057,Pop Track 57,Artist 42,Pop,Romantic,0.62,0.8,134.0
S_0058,Country Track 58,Artist 15,Country,Happy,0.61,0.76,111.0
S_0059,Jazz Track 59,Artist 31,Jazz,Energetic,0.86,0.59,135.0
S_0060,Pop Track 60,Artist 73,Pop,Sad,0.75,0.97,107.0
S_0061,Rock Track 61,Artist 94,Rock,Happy,0.74,0.56,146.0
S_0062,Country Track 62,Artist 98,Country,Happy,0.95,0.63,133.0
S_0063,Hip-Hop Track 63,Artist 85,Hip-Hop,Sad,0.93,0.78,126.0
S_0064,Country Track 64,Artist 22,Country,Romantic,0.42,0.35,116.0
S_0065,Classical Track 65,Artist 78,Classical,Romantic,0.46,0.42,74.0
S_0066,R&B Track 66,Artist 70,R&B,Sad,0.24,0.46,96.0
S_0067,Electronic Track 67,Artist 40,Electronic,Angry,0.95,0.89,132.0
S_0068,R&B Track 68,Artist 84,R&B,Angry,0.34,0.38,116.0
S_0069,Jazz Track 69,Artist 67,Jazz,Chill,0.34,0.1,64.0
S_0070,Country Track 70,Artist 32,Country,Happy,0.87,0.5,108.0
S_0071,Electronic Track 71,Artist 44,Electronic,Happy,0.82,0.85,133.0
S_0072,Pop Track 72,Artist 71,Pop,Romantic,0.69,0.86,112.0
S_0073,Electronic Track 73,Artist 29,Electronic,Romantic,0.73,0.87,132.0
S_0074,Pop Track 74,Artist 91,Pop,Happy,0.94,0.83,128.0
S_0075,Pop Track 75,Artist 9,Pop,Sad,0.64,0.68,113.0
S_0076,Pop Track 76,Artist 10,Pop,Energetic,0.7,0.99,120.0
S_0077,Electronic Track 77,Artist 86,Electronic,Energetic,0.96,0.82,140.0
S_0078,Country Track 78,Artist 70,Country,Sad,0.3,0.39,80.0
S_0079,Hip-Hop Track 79,Artist 74,Hip-Hop,Angry,0.68,0.86,114.0
S_0080,Country Track 80,Artist 61,Country,Sad,0.11,0.42,67.0
S_0081,R&B Track 81,Artist 13,R&B,Sad,0.48,0.58,97.0
S_0082,Rock Track 82,Artist 56,Rock,Angry,0.49,0.31,117.0
S_0083,Jazz Track 83,Artist 53,Jazz,Chill,0.27,0.58,99.0
S_0084,Country Track 84,Artist 7,Country,Angry,0.73,0.45,95.0
S_0085,Rock Track 85,Artist 52,Rock,Happy,0.94,0.66,108.0
S_0086,Jazz Track 86,Artist 32,Jazz,Happy,0.82,0.97,135.0
S_0087,Electronic Track 87,Artist 69,Electronic,Sad,0.83,0.55,131.0
S_0088,Country Track 88,Artist 55,Country,Sad,0.5,0.17,81.0
S_0089,Hip-Hop Track 89,Artist 60,Hip-Hop,Energetic,0.95,0.87,135.0
S_0090,Electronic Track 90,Artist 57,Electronic,Happy,0.88,0.68,115.0
S_0091,Rock Track 91,Artist 84,Rock,Happy,0.92,0.91,143.0
S_0092,Pop Track 92,Artist 97,Pop,Happy,0.97,0.76,125.0
S_0093,Electronic Track 93,Artist 53,Electronic,Sad,0.92,0.82,135.0
S_0094,Country Track 94,Artist 28,Country,Chill,0.42,0.55,74.0
S_0095,R&B Track 95,Artist 22,R&B,Happy,0.75,0.55,129.0
S_0096,R&B Track 96,Artist 50,R&B,Happy,0.61,0.73,127.0
S_0097,Classical Track 97,Artist 37,Classical,Chill,0.21,0.4,61.0
S_0098,R&B Track 98,Artist 94,R&B,Angry,0.32,0.71,94.0
S_0099,Country Track 99,Artist 25,Country,Sad,0.15,0.36,91.0
S_0100,Classical Track 100,Artist 8,Classical,Sad,0.19,0.41,63.0
S_0101,Pop Track 101,Artist 41,Pop,Angry,0.62,0.77,127.0
S_0102,Pop Track 102,Artist 75,Pop,Happy,0.85,0.86,149.0
S_0103,Country Track 103,Artist 68,Country,Romantic,0.56,0.46,112.0
S_0104,Hip-Hop Track 104,Artist 66,Hip-Hop,Happy,0.71,0.72,104.0
S_0105,Rock Track 105,Artist 9,Rock,Sad,0.11,0.58,93.0
S_0106,Rock Track 106,Artist 31,Rock,Angry,0.65,0.5,87.0
S_0107,R&B Track 107,Artist 73,R&B,Happy,0.66,0.63,127.0
S_0108,Electronic Track 108,Artist 77,Electronic,Romantic,0.89,0.83,114.0
S_0109,Pop Track 109,Artist 11,Pop,Romantic,0.98,0.87,128.0
S_0110,R&B Track 110,Artist 75,R&B,Angry,0.61,0.51,90.0
S_0111,Jazz Track 111,Artist 27,Jazz,Energetic,0.74,0.88,101.0
S_0112,Jazz Track 112,Artist 34,Jazz,Sad,0.15,0.12,62.0
S_0113,R&B Track 113,Artist 86,R&B,Sad,0.44,0.45,79.0
S_0114,Classical Track 114,Artist 41,Classical,Chill,0.14,0.35,79.0
